gt_x,gt_y,safe,shift_m
-95.26236729763448,-5.92866816723377,True,0.0
-92.64695489202667,-8.971082515660035,True,0.0
-89.94330044062488,-11.944142665270425,True,0.0
-88.00450974223533,-15.459533203870004,True,0.0
-84.83283581421139,-18.017322030859425,True,0.0
-81.7,-20.299999999999997,True,0.30000000000000004
-78.3,-23.0,True,0.30000000000000004
-76.4,-25.2,True,1.6
-71.69999999999999,-25.9,True,1.4000000000000001
-69.527461864509,-30.72542845122561,True,0.0
-67.15403705952025,-34.05516898601911,True,0.0
-64.6472348188629,-37.241397574728445,True,0.0
-60.622653562771745,-37.61811853417488,True,0.0
-56.71569230279715,-36.756261663290466,True,0.0
-52.64215802738594,-36.88345713029546,True,0.0
-48.714158555686,-37.66341066297476,True,0.0
-44.8,-40.6,True,2.0
-41.34271474589012,-40.721874104032594,True,0.0
-37.3290471685162,-40.30536208824549,True,0.0
-34.37661409524628,-37.526366516108084,True,0.0
-33.21863316881825,-33.68478928810393,True,0.0
-31.996279084589766,-29.82438159367905,True,0.0
-29.38630173048788,-26.736911738202743,True,0.0
-26.021160164637127,-24.566861272676157,True,0.0
-22.073727277569347,-23.883088701821702,True,0.0
-19.19999999999999,-24.5,True,1.2000000000000002
-14.309708924665166,-22.9034445461598,True,0.0
-10.773630626864426,-20.98635128553777,True,0.0
-6.919952214947185,-19.80932411676544,True,0.0
-2.9367374293429283,-19.409894075626717,True,0.0
1.0823653749301312,-18.899602242490584,True,0.0
3.8000000000000114,-18.5,True,1.6
8.756982933913495,-16.36110837522221,True,0.0
11.987561693534312,-13.941850298531083,True,0.0
14.455342954491075,-10.75679212740013,True,0.0
16.538158025066224,-7.237449690259795,True,0.0
19.151318135728634,-4.147644910455874,True,0.0
23.03396663381131,-2.9238453144866905,True,0.0
27.107629760113397,-2.762197401254352,True,0.0
31.13897647072175,-2.7865296784145017,True,0.0
35.20865336181237,-2.776029961059609,True,0.0
39.26442506982965,-2.848237853966181,True,0.0
43.289852600649404,-2.779086040763334,True,0.0
47.26414052622618,-2.2572749772709497,True,0.0
51.269947799532915,-1.9923524096450411,True,0.0
55.27052235681001,-2.4095564860413226,True,0.0
59.30884661809479,-2.981627646547087,True,0.0
63.35770609814427,-3.4493208215216504,True,0.0
67.36863552563166,-3.899801880694585,True,0.0
63.34780362063298,-3.582400940204562,True,0.0
59.406295394657676,-2.7842029460186524,True,0.0
55.41383430638996,-2.4947747397190554,True,0.0
51.37992419030953,-2.130386142396403,True,0.0
47.37271662659666,-2.050643616396295,True,0.0
43.336689236592704,-2.5409071151827467,True,0.0
39.36615795516758,-3.037789963747899,True,0.0
35.36282089816752,-3.0361927977334915,True,0.0
31.310183761168755,-2.8703464416549735,True,0.0
27.270629503371342,-2.963925936086745,True,0.0
23.26312548585991,-3.200352743184808,True,0.0
19.35479638802166,-4.067010043995115,True,0.0
16.410978469664567,-6.776347802120448,True,0.0
14.316242088023168,-10.223101234129977,True,0.0
12.163914254355461,-13.627900671545536,True,0.0
9.049397644327,-16.19375275619568,True,0.0
6.200000000000003,-17.5,True,1.3
1.458205725465696,-18.823413712111257,True,0.0
-2.531197366306541,-19.501582988190076,True,0.0
-6.579230391727936,-19.992440789301973,True,0.0
-10.528524957053342,-20.803393308985243,True,0.0
-14.146955489031475,-22.53601937859049,True,0.0
-16.799999999999997,-24.5,True,1.2000000000000002
-21.810468025516872,-24.57894663525624,True,0.0
-25.821686088165436,-24.601406740307866,True,0.0
-29.25546174851405,-26.74918076418637,True,0.0
-31.896845312775984,-29.7708392593895,True,0.0
-33.459164062120216,-33.532713529793945,True,0.0
-34.436550491550236,-37.42724185673571,True,0.0
-37.169188056677676,-40.37009900307296,True,0.0
-41.177235449699545,-40.73242367865501,True,0.0
-44.599999999999994,-40.6,True,2.1
-48.5013196543425,-37.576554844157364,True,0.0
-52.4818719434341,-37.071618658955884,True,0.0
-56.503487679584985,-36.68782173893354,True,0.0
-60.481111205651644,-37.1145817418495,True,0.0
-64.51534670014182,-37.32846943144645,True,0.0
-66.85374774285299,-34.05213176020906,True,0.0
-69.20560996134719,-30.775289064205502,True,0.0
-71.6,-25.799999999999997,True,1.8
-73.8,-24.5,True,1.0
-78.0,-22.9,True,0.2
-81.4,-20.0,True,0.4
-84.48991533103509,-17.835233797250744,True,0.0
-87.63760772483512,-15.239096211554346,True,0.0
-89.07391148687238,-11.503478984926824,True,0.0
